                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.4501,                0.94857,                 1.1711,                0.81114,                0.78483,                0.85199,                0.65228,                0.84094,                0.64094,                 0.9326,              0.0025043,              0.0025043,              0.0025043
                     55,                 1.4411,                0.94895,                 1.1632,                0.80924,                0.78795,                0.85364,                0.65303,                0.84113,                0.63917,                0.93154,              0.0023629,              0.0023629,              0.0023629
                     56,                 1.4336,                0.94064,                 1.1592,                0.82253,                0.78293,                 0.8555,                0.65577,                0.83588,                0.63839,                0.92855,              0.0022214,              0.0022214,              0.0022214
                     57,                  1.428,                0.93718,                 1.1582,                0.82862,                0.77524,                0.85349,                0.65161,                0.83613,                0.63909,                0.93285,                0.00208,                0.00208,                0.00208
                     58,                 1.4232,                0.92822,                 1.1527,                0.82596,                0.77386,                0.85225,                0.65098,                0.83751,                0.64097,                0.93196,              0.0019386,              0.0019386,              0.0019386
                     59,                 1.4204,                0.92742,                 1.1547,                0.81607,                0.77464,                0.85122,                0.65309,                0.83567,                0.64152,                0.93041,              0.0017971,              0.0017971,              0.0017971
                     60,                 1.4067,                0.91623,                 1.1452,                0.81816,                0.76367,                0.84772,                 0.6505,                0.83888,                0.64251,                0.93154,              0.0016557,              0.0016557,              0.0016557
                     61,                 1.3784,                0.88369,                  1.176,                0.80984,                 0.7794,                0.84744,                0.64889,                0.83873,                0.64178,                0.93241,              0.0015143,              0.0015143,              0.0015143
                     62,                 1.3575,                0.86416,                 1.1684,                0.80287,                0.77696,                0.84468,                0.64442,                0.84364,                0.64743,                0.93274,              0.0013729,              0.0013729,              0.0013729
                     63,                   1.35,                0.85389,                 1.1678,                0.81751,                0.76401,                 0.8433,                0.64323,                0.84373,                 0.6453,                0.93215,              0.0012314,              0.0012314,              0.0012314
                     64,                 1.3336,                0.84181,                 1.1551,                0.81471,                0.76792,                0.84286,                0.64255,                0.84784,                0.64923,                0.93224,                0.00109,                0.00109,                0.00109
                     65,                 1.3244,                0.83639,                  1.149,                0.78941,                0.78985,                0.84357,                0.64457,                0.84465,                0.64743,                0.93146,             0.00094857,             0.00094857,             0.00094857
                     66,                 1.3159,                0.83124,                 1.1489,                0.79167,                 0.7794,                 0.8411,                0.64135,                0.84604,                0.65241,                0.93083,             0.00080714,             0.00080714,             0.00080714
                     67,                 1.3074,                0.82061,                 1.1413,                0.80609,                0.76727,                0.83901,                 0.6412,                0.84807,                0.65488,                0.93068,             0.00066571,             0.00066571,             0.00066571
                     68,                 1.3069,                0.82318,                 1.1432,                0.80352,                 0.7736,                0.83848,                0.63907,                0.84902,                0.65229,                0.93066,             0.00052429,             0.00052429,             0.00052429
                     69,                 1.3025,                0.81647,                 1.1402,                0.79469,                0.78919,                0.83913,                 0.6393,                0.85167,                0.65201,                0.93156,             0.00038286,             0.00038286,             0.00038286
                     70,                 1.2949,                 0.8078,                 1.1358,                0.78214,                 0.7955,                0.83866,                0.63999,                0.85299,                0.65267,                0.93174,             0.00024143,             0.00024143,             0.00024143
